index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
214,HIST1H2BJ,5,-1.1214283147,-1.35621818439,-1.10608357049,0.53135068527,-0.268771813017,0.219595666372,1.23357864458,1.00634421406,0.86163267231
215,HIVEP2,5,-0.967495413984,-1.50276728152,-1.12616293773,-0.118915717711,0.147192772142,1.13779704619,0.967857185226,0.414372599375,1.04812174802
216,KCNH2,5,-1.33167906566,-0.677068699301,-0.975361327742,-0.48607005913,-0.5866695658,1.27594385151,0.868905899113,1.06898984237,0.843009124644
217,KCNN3,5,-1.6027130158,-0.894914627192,-0.268833802338,-0.597177008168,0.128481416133,-0.236565669056,0.944336161618,1.11627574119,1.41111080361
218,KIAA0513,5,-1.79857705172,-0.331342643511,-0.455005826772,-0.811411411286,-0.213544503166,0.674110773749,1.15856820409,0.459426033288,1.31777642532
219,KMO,5,-1.46655153485,-1.25327158725,-0.643354790777,-0.487746808182,0.186104979025,0.661088621655,0.721522134917,1.26404399358,1.01816499189
220,LPHN3,5,-1.89202999356,-0.551122453554,-0.486270893011,-0.574184244824,0.335414317486,0.0430695492136,1.38218594914,0.929035517039,0.81390225207
221,LRRC4B,5,-2.04461781935,0.112630115411,-0.709042241419,-0.430899129347,-0.131009130297,0.231598672069,1.10907047953,1.13555540481,0.726713648593
222,MAOA,5,-1.25400662823,-0.75655022547,-0.920960137398,-0.50654295708,-0.524434301648,0.380913850532,1.06435664491,1.37935190781,1.13787184658
223,MECP2,5,-1.9708548143,-0.639216277383,-0.326161972564,-0.31272147516,-0.129708200423,0.408369314803,1.02422275614,0.539019202576,1.40705146631
224,MEGF10,5,-1.27501085351,-1.15365370216,-0.991717679247,-0.119639804407,0.0916942909742,0.0802199880829,1.36378688555,0.717376328153,1.28694454657
225,NCAM1,5,-1.75957389225,-0.84080762472,-0.156315779328,-0.184718169429,0.276731379701,-0.178770606044,0.527701137513,0.426432353019,1.88932120154
226,NRN1,5,-1.1734562592,-1.09004645133,-0.783752480358,-0.626512459962,-0.32781250313,0.934846074791,0.735675468422,0.858544297854,1.47251431292
227,OXTR,5,-1.01109669919,-1.06242596675,-0.772958352269,-0.667641420913,-0.655830422939,0.916202513314,1.07977287691,1.14692941488,1.02704805697
228,RGS9,5,-0.58190441423,-1.28450065508,-1.27634946845,0.431078311356,-0.825103412785,0.4259838263,1.27157845303,0.805549548409,1.03366781146
229,RORA,5,-1.65721028886,-0.609460334579,-0.43029192769,-0.727447720107,0.829709632282,-0.137183817212,0.151942720738,1.05597611622,1.52396561921
230,SDCCAG8,5,-1.37707983098,-1.11344100086,-1.07374378671,0.308273288274,0.38496170204,-0.127286399911,0.461637196424,1.37097018265,1.16570864906
231,SHANK1,5,-1.44993275607,0.844562362881,-1.07403783401,-0.868188454714,-0.11453543004,-0.339095571114,1.20700034162,0.693986759501,1.10024058195
232,SLC12A5,5,-0.989585649146,-1.1466986982,-1.38482855642,-0.0585019892909,0.58288370358,0.252934927579,0.738329263208,0.360541474603,1.64492552409
233,SLC27A5,5,-1.35622431337,-0.632173421423,-1.4024065855,0.173080639065,0.73168853176,-0.24308474823,0.380305458669,1.53961678929,0.809197649733
234,SLC6A1,5,-1.11970129622,-0.982661864248,-0.981516678553,-0.70110204101,-0.0701414283264,0.353592759703,1.41487914674,0.951570838747,1.13508056317
235,ST8SIA4,5,-1.50595725346,-1.35223766562,-0.735499789024,-0.0138559061986,0.242446110726,0.375168140175,0.659754076778,1.0853644715,1.24481781512
236,STON2,5,-1.38413504595,-1.51706890179,0.420176861766,-0.397758104067,0.411884079409,-0.467424154258,1.29803344873,0.683680495093,0.952611321064
